fs_sim,nr_sim,rc_sim,rl_sim
0.08571299732014015,0.6,6.0,26.0
0.2069581189913982,0.6,12.0,26.0
0.20902423469387754,0.6,12.0,23.0
0.206130716175359,1.0,6.0,16.0
0.5540714045051983,0.6,16.0,31.0
0.9235186452629833,0.6,16.0,33.0
1.0435830582232892,0.4,22.0,43.0
1.0332237420830401,0.4,22.0,43.0
0.21244463270382774,0.4,16.0,33.0
0.4738479526425955,0.4,16.0,29.0
0.31562044460641403,0.6,13.0,31.0
0.44826034580498864,0.6,13.0,28.0
0.4284914478086317,0.6,15.0,35.0
0.16914651730257324,0.6,8.0,22.0
0.2803107606679035,0.8,12.0,24.0
0.2154089882873067,1.0,4.0,11.0
0.04964923469387755,0.8,3.0,14.0
0.1328067453095888,0.4,12.0,26.0
0.1364419978517723,0.8,11.0,27.0
0.14023492651777691,0.6,14.0,34.0
0.37729346546310827,0.6,13.0,28.0
0.06740563073055311,1.0,6.0,17.0
0.1200487255571685,1.0,2.0,19.0
0.3303235767991407,0.6,8.0,24.0
0.26598446196660486,0.6,10.0,24.0
0.27344731161695446,0.6,6.0,28.0
0.2744615715084989,0.6,6.0,24.0
0.43398068068690887,0.6,13.0,29.0
0.04570653692511484,1.0,4.0,13.0
0.05195186627282489,1.0,6.0,13.0
0.37537332005973123,0.8,7.0,18.0
0.2908923243744672,0.8,9.0,18.0
0.3107124049351644,1.0,8.0,16.0
0.2870835834333733,0.4,18.0,38.0
0.3408523178037971,0.4,15.0,32.0
0.2537818281518215,0.4,18.0,38.0
0.36064923469387755,0.4,15.0,34.0
0.3313981842737095,1.0,2.0,23.0
0.19846938775510203,0.8,13.0,19.0
0.3690947676092381,0.6,12.0,26.0
0.108342568584811,1.0,4.0,19.0
0.08324622639512236,0.8,9.0,16.0
0.35741995661901127,1.0,6.0,20.0
0.15661392079253222,0.6,13.0,37.0
0.2418212643968478,0.4,17.0,38.0
0.33051299873882134,0.8,3.0,28.0
0.37033375850340133,0.6,13.0,28.0
0.3326283413221196,1.0,2.0,16.0
0.19879928581862194,0.8,13.0,20.0
0.21683673469387754,0.8,14.0,28.0
0.2606950267730854,0.6,24.0,45.0
0.14978510425909497,0.6,14.0,26.0
0.23160276872529117,0.6,13.0,30.0
0.24068869092729928,0.6,8.0,21.0
0.14339923469387755,0.6,13.0,27.0
0.0603173381421534,0.6,13.0,27.0
0.12674401491365778,0.6,13.0,28.0
0.061026399196042025,0.6,13.0,25.0
0.5188104189044038,0.4,16.0,29.0
0.11591198979591838,0.8,14.0,25.0
0.11743378753940598,0.6,12.0,21.0
0.25129877050289606,0.8,11.0,19.0
0.13296062604642744,0.6,26.0,44.0
0.24891785171515413,0.8,11.0,19.0
0.21861853293949163,0.6,13.0,24.0
0.29480854841936777,0.6,13.0,35.0
